Name,Type,Dates,Hours,Address,City,ZIP Code,Website
Auburn International Farmers Market ,Seasonal,"Jun 2 - Sep 15, Every Sundays",10:00 AM - 3:00 PM,"Les Gove Park, 1140 Auburn Way South",Auburn,98002,https://www.auburnwa.gov/city_hall/parks_arts_recreation/auburn_farmers_market
Ballard Farmers Market,Open Year-Round,"All year, Every Sunday",9am-2pm,5345 Ballard Ave NW,Seattle,98107,http://sfmamarkets.com/visit-ballard-farmers-market
Bellevue Farmers Market,Seasonal,"May 18 – Oct 19, Thursday",3:00 pm – 7:00 pm,1717 Bellevue Way NE,Bellevue,98004,http://bellevuefarmersmarket.org/
Burien Farmers Market,Open Year-Round,"Jan 12 – Dec 21, Thursday",10am-4pm,480 SW 152nd St. ,Burien,98116,http://discoverburien.org/
Capitol Hill Farmers Market,Open Year-Round,"All year, Sunday; Jul - Sep, Tuesdays","11am-3pm; 3pm - 7pm
",E Barbara Bailey Way,Seattle,98102,https://seattlefarmersmarkets.org/chfm
Carnation Farmers Market ,Seasonal,"June 4th - August, every Tuesday",3-7pm,"Tolt MacDonald Park, 31020 NE 40th St",Carnation,98014,http://carnationfarmersmarket.org/
Columbia City Farmers Market,Seasonal,"Nov. 11, Dec. 9, Saturday",10am-2pm,3500 S Edmunds St.,Seattle,98118,https://seattlefarmersmarkets.org/ccfm
Crossroads Farmers Market,Seasonal,"June 4 - September 24, Tuesdays",12 - 6pm,15600 NE 8th St,Bellevue,98008,https://crossroadsbellevue.com/FarmersMarket
Delridge Farmers Market,Seasonal,"May - Oct, every Saturday",10am-2pm,9421 18th Ave SW,Seattle,98106,https://www.achdo.org/delridgefarmersmarket
Des Moines Waterfront Farmers Market,Open Year-Round,"All year, Every Saturday",10am-4pm,22307 Dock Ave S.,Des Moines,98198,https://dmfm.org/
Duvall Farmers Market ,Seasonal,"May-Oct, Every Thursday",3:00PM-7:00PM,16201 Main St NE,Duvall,98019,https://duvallfarmersmarket.org/
Enumclaw Plateau Farmers' Market ,Seasonal,"Jul - Sep, Thursdays",3:00pm-7:00pm,1600 1st St,Enumclaw,98022,https://www.enumclawplateaufarmersmarket.org/
Federal Way Farmers Market ,Seasonal,"May 11th-Oct 26th, Saturdays",9am-2pm,1701 S 320th St,Federal Way,98003,https://federalwayfarmersmarket.com/
Issaquah Farmers Market ,Seasonal,"May-Sep, Saturdays",9am-2pm,1730 10th Ave NW,Issaquah,98027,https://www.issaquahwa.gov/778/Farmers-Market
Juanita Friday Market,Seasonal,"Jul - Sep, every Friday",3pm - 7pm,9703 Juanita Dr NE,Kirkland,98034,https://www.kirklandwa.gov/Whats-Happening/News/Juanita-Friday-Market-Kicks-Off-17th-Season
Kenmore Farmers Market ,Seasonal,"Jun 5 - Aug 28, every Wednesday",3pm - 7pm,6728 NE 181st St,Kenmore,98028,https://www.kenmorewa.gov/our-city/kenmore-farmers-market
Kent Farmers Market ,Seasonal,"Jun 15 - Sep, 14, every Saturday",9am-2pm,W Gowe St & 2nd Ave S,Kent,98032,https://kentfarmersmarket.com/
Kirkland Wednesday Market ,Seasonal,"Jun 5 - Sep 15, every Wednesday",3pm - 7pm,Marina Park. 25 Lakeshore Plaza,Kirkland,98033,https://kirklanddowntown.org/events/kirkland-market/
Lake City Farmers Market,Seasonal,"Nov. 4, Saturday",10am-2pm,"NE 125th St &, 28th Ave NE",Seattle,98125,https://seattlefarmersmarkets.org/lcfm
Lake Forest Park Farmers Market ,Seasonal,"Nov. 19, Dec. 17, Sunday",10am-2pm,17171 Bothell Way NE,Lake Forest Park,98155,https://www.thirdplacecommons.org/farmers-market/
Madrona Farmers Market,Seasonal,"May 17 - Oct 25, Fridays",3pm - 7pm,1126 Martin Luther King Jr Way,Seattle,98122,https://www.sfmamarkets.com/madrona-farmers-market
Magnolia Farmers Market,Seasonal,"Jun 1 - Oct 12, Saturday",10 AM - 2 PM,W Mcgraw St. 33rd Ave W,Seattle,98199,https://seattlefarmersmarkets.org/
Maple Valley Farmers Market,Seasonal,"May - Sep, Saturdays",9:00 am – 2:00 pm,25719 Maple Valley Black Diamond Road SE,Maple Valley,98038,https://www.maplevalleyfarmersmarket.com/
Mercer Island Farmers Market ,Seasonal,"Jun - Oct, Sunday",10am-2pm,7700 SE 32nd St.,Mercer Island,98040,https://www.mifarmersmarket.org/
North Bend Farmers Market ,Seasonal,"Jun 6 - Sep 12, Thursdays",4:00 PM - 8:00 PM, 400 SE Orchard Drive,North Bend,98045,https://www.siviewpark.org/farmers-market.phtml
Phinney Farmers Market,Seasonal,"Jun 7 - Sep 27, Fridays",3pm-7pm,6532 Phinney Ave N,Seattle,98103,https://seattlefarmersmarkets.org/pfm
Pike Place Market - City Hall Plaza,Seasonal,"Jul 18 – Aug 29, Tuesdays",10 a.m. – 2 p.m.,600 4th Avenue,Kirkland,98033,https://www.pikeplacemarket.org/market-programs-events/farmers-markets/
Pike Place Market - First Hill,Seasonal,"Jul 7 – Sep 1, Fridays",10 a.m. – 2 p.m.,426 Terry Avenue N,Seattle,98109,https://www.pikeplacemarket.org/market-programs-events/farmers-markets/
Pike Place Market - South Lake Union,Seasonal,"Jul 6 – Sep 28, Thursdays",10 a.m. – 2 p.m.,9th Avenue & University Street,Seattle,98101,https://www.pikeplacemarket.org/market-programs-events/farmers-markets/
Queen Anne Farmers Market,Seasonal,"Spring and Holiday Seasons, Every Saturdays",10am-3pm,1935 Queen Anne Ave N,Seattle,98113,https://qafm.org/
Redmond Saturday Market,Seasonal,May 11 - Oct 26,9 AM - 2 PM,9900 Willows Rd NE,Redmond,98052,http://redmondsaturdaymarket.org/
Renton Farmers Market ,Seasonal,"Jun - Sep, Every Tuesday",3:00-7:00pm,233 Burnett Ave S,Renton,98057,https://www.rentonfarmersmarket.com/
Sammamish Farmers Market ,Seasonal,"May – Sep, Wednesdays",4 – 8 PM,801 228th Ave SE,Sammamish,98074,https://www.sammamishfarmersmarket.org/
Shoreline Farmers Market ,Seasonal,"Jun-Oct, Saturday",10am-2pm,18821 Aurora Ave N,Shoreline,98133,https://shorelinefarmersmarket.org/home
Tukwila Village Farmers Market ,Seasonal,"Oct 25, Wednesday",3:00-6:00pm,14350 Tukwila International Blvd,Tukwila,98168,https://foodinnovationnetwork.org/markets/
University District Farmers Market,Open Year-Round,Every Saturday,9am-2pm,5031 University Way NE,Seattle,98105,https://foodinnovationnetwork.org/markets/
Vashon Island Farmers Market ,Seasonal,"Apr 16 - Oct 15, Saturdays",10am-2pm,17519 Vashon Hwy SW,Vashon,98070,https://www.vashonfresh.com/
Wallingford Farmers Market,Seasonal,"May 29 - Sep 25, Wednesdays",3PM - 7PM,4800 Meridian Ave N,Seattle,98103,https://www.sfmamarkets.com/visit-wallingford-farmers-market
West Seattle Farmers Market,Open Year-Round,Every Sunday,10am-2pm,4559 California Ave SW,Seattle,98116,https://seattlefarmersmarkets.org/wsfm
Woodinville Farmers Market,Seasonal,"May-Sep, Saturdays",12pm-5pm10am-2pm,13205 NE 175th St.,Woodinville,98072,https://woodinvillefarmersmarket.com/