ZIPCODE,ZIP_TYPE,PREFERRED_CITY
98001,Standard,AUBURN
98002,Standard,AUBURN
98003,Standard,FEDERAL WAY
98004,Standard,BELLEVUE
98005,Standard,BELLEVUE
98006,Standard,BELLEVUE
98007,Standard,BELLEVUE
98008,Standard,BELLEVUE
98010,Standard,BLACK DIAMOND
98011,Standard,BOTHELL
98012,Standard,BOTHELL
98014,Standard,CARNATION
98019,Standard,DUVALL
98020,Standard,EDMONDS
98021,Standard,BOTHELL
98022,Standard,ENUMCLAW
98023,Standard,FEDERAL WAY
98024,Standard,FALL CITY
98026,Standard,EDMONDS
98027,Standard,ISSAQUAH
98028,Standard,KENMORE
98029,Standard,ISSAQUAH
98030,Standard,KENT
98031,Standard,KENT
98032,Standard,KENT
98033,Standard,KIRKLAND
98034,Standard,KIRKLAND
98036,Standard,LYNNWOOD
98037,Standard,LYNNWOOD
98038,Standard,MAPLE VALLEY
98039,Standard,MEDINA
98040,Standard,MERCER ISLAND
98042,Standard,KENT
98043,Standard,MOUNTLAKE TERRACE
98045,Standard,NORTH BEND
98047,Standard,PACIFIC
98051,Standard,RAVENSDALE
98052,Standard,REDMOND
98053,Standard,REDMOND
98055,Standard,RENTON
98056,Standard,RENTON
98057,Standard,RENTON
98058,Standard,RENTON
98059,Standard,RENTON
98065,Standard,SNOQUALMIE
98070,Standard,VASHON
98072,Standard,WOODINVILLE
98074,Standard,SAMMAMISH
98075,Standard,SAMMAMIISH
98077,Standard,WOODINVILLE
98087,Standard,LYNNWOOD
98092,Standard,AUBURN
98101,Standard,SEATTLE
98102,Standard,SEATTLE
98103,Standard,SEATTLE
98104,Standard,SEATTLE
98105,Standard,SEATTLE
98106,Standard,SEATTLE
98107,Standard,SEATTLE
98108,Standard,SEATTLE
98109,Standard,SEATTLE
98110,Standard,BAINBRIDGE ISLAND
98112,Standard,SEATTLE
98115,Standard,SEATTLE
98116,Standard,SEATTLE
98117,Standard,SEATTLE
98118,Standard,SEATTLE
98119,Standard,SEATTLE
98121,Standard,SEATTLE
98122,Standard,SEATTLE
98125,Standard,SEATTLE
98126,Standard,SEATTLE
98133,Standard,SEATTLE
98134,Standard,SEATTLE
98136,Standard,SEATTLE
98144,Standard,SEATTLE
98146,Standard,SEATTLE
98148,Standard,SEATTLE
98154,Standard,SEATTLE
98155,Standard,SEATTLE
98158,Standard,SEATTLE
98164,Standard,SEATTLE
98166,Standard,SEATTLE
98168,Standard,SEATTLE
98177,Standard,SEATTLE
98178,Standard,SEATTLE
98188,Standard,SEATTLE
98195,Standard,SEATTLE
98198,Standard,SEATTLE
98199,Standard,SEATTLE
98201,Standard,EVERETT
98203,Standard,EVERETT
98204,Standard,EVERETT
98205,Standard,EVERETT
98260,Standard,LANGLEY
98208,Standard,EVERETT
98223,Standard,ARLINGTON
98224,PO Box,BARING
98241,Standard,DARRINGTON
98251,Standard,GOLD BAR
98252,Standard,GRANITE FALLS
98258,Standard,LAKE STEVENS
98270,Standard,MARYSVILLE
98271,Standard,MARYSVILLE
98272,Standard,MONROE
98275,Standard,MUKILTEO
98282,Standard,CAMANO ISLAND
98288,PO Box,SKYKOMISH
98290,Standard,SNOHOMISH
98292,Standard,STANWOOD
98294,Standard,SULTAN
98296,Standard,SNOHOMISH
98303,Standard,ANDERSON ISLAND
98304,Standard,ASHFORD
98310,Standard,BREMERTON
98311,Standard,BREMERTON
98312,Standard,BREMERTON
98314,Unique,BREMERTON
98315,Standard,SILVERDALE
98321,Standard,BUCKLEY
98323,Standard,CARBONADO
98327,Standard,DUPONT
98328,Standard,EATONVILLE
98329,Standard,GIG HARBOR
98330,Standard,ELBE
98332,Standard,GIG HARBOR
98333,Standard,FOX ISLAND
98335,Standard,GIG HARBOR
98337,Standard,BREMERTON
98338,Standard,GRAHAM
98340,Standard,HANSVILLE
98342,Standard,INDIANOLA
98345,PO Box,KEYPORT
98346,Standard,KINGSTON
98349,Standard,LAKEBAY
98351,Standard,LONGBRANCH
98354,Standard,MILTON
98359,Standard,OLALLA
98360,Standard,ORTING
98366,Standard,PORT ORCHARD
98367,Standard,PORT ORCHARD
98370,Standard,POULSBO
98371,Standard,PUYALLUP
98372,Standard,PUYALLUP
98373,Standard,PUYALLUP
98374,Standard,PUYALLUP
98375,Standard,PUYALLUP
98380,Standard,SEABECK
98383,Standard,SILVERDALE
98385,Standard,SOUTH PRAIRIE
98387,Standard,SPANAWAY
98388,Standard,STEILACOOM
98390,Standard,SUMNER
98391,Standard,BONNEY LAKE
98392,Standard,SUQUAMISH
98394,Standard,VAUGHN
98396,Standard,WILKESON
98397,Standard,LONGMIRE
98402,Standard,TACOMA
98403,Standard,TACOMA
98404,Standard,TACOMA
98405,Standard,TACOMA
98406,Standard,TACOMA
98407,Standard,TACOMA
98408,Standard,TACOMA
98409,Standard,TACOMA
98416,Unique,TACOMA
98418,Standard,TACOMA
98421,Standard,TACOMA
98422,Standard,TACOMA
98424,Standard,TACOMA
98430,Standard,CAMP MURRAY
98433,Standard,TACOMA
98438,Standard,TACOMA
98439,Standard,LAKEWOOD
98443,Standard,TACOMA
98444,Standard,TACOMA
98445,Standard,TACOMA
98446,Standard,TACOMA
98447,Unique,TACOMA
98465,Standard,TACOMA
98466,Standard,TACOMA
98467,Standard,UNIVERSITY PLACE
98498,Standard,LAKEWOOD
98499,Standard,LAKEWOOD
98580,Standard,ROY
98826,Standard,LEAVENWORTH
98922,Standard,CLE ELUM
98925,Standard,EASTON
98926,Standard,ELLENSBURG
98946,Standard,THORP